"add","shift","delete"
13,32,18
10,23,14
12,24,16
12,32,13
9,34,14
9,30,8
17,31,14
12,24,14
9,33,12
8,34,13
9,37,11
14,33,13
14,27,7
4,48,9
10,31,10
10,45,7
17,27,12
16,37,15
9,29,14
14,31,7
12,35,12
10,36,8
12,31,12
7,45,10
13,36,13
10,30,15
13,26,9
10,27,13
10,29,15
13,36,10
14,30,13
10,32,10
10,27,13
8,33,11
21,29,9
10,39,11
15,33,6
11,39,11
14,33,7
9,30,17
14,32,10
14,33,13
15,34,9
18,22,18
10,30,18
13,28,18
11,34,12
12,42,11
14,28,13
13,29,14
12,35,14
15,33,8
14,35,12
11,32,16
13,35,12
10,39,10
17,27,14
12,34,11
9,35,13
11,33,13
13,35,8
14,29,11
13,35,12
5,32,15
22,25,12
19,30,10
7,33,19
13,32,12
16,29,16
14,33,11
10,40,12
21,34,12
13,27,9
9,29,17
18,34,7
14,32,12
12,35,14
12,27,15
13,34,14
10,39,13
14,33,12
13,26,16
16,28,11
14,41,10
13,29,17
13,30,13
7,37,13
13,46,8
8,39,12
15,31,13
14,35,12
12,34,21
16,27,17
17,36,9
13,34,12
12,25,17
15,29,16
12,25,13
12,35,14
12,35,6
18,30,13
11,37,14
9,35,16
18,31,11
12,28,12
15,20,17
16,26,13
12,27,15
9,31,16
10,39,12
9,36,14
13,33,10
13,37,14
13,29,14
10,28,19
15,24,17
10,23,18
11,34,11
10,34,14
14,39,8
8,44,13
12,32,10
6,29,18
13,31,11
11,33,9
12,30,11
10,37,9
12,31,13
11,28,9
10,35,6
14,31,13
14,33,10
10,34,13
12,35,8
10,35,9
18,32,13
11,31,14
9,34,8
14,34,14
12,30,13
13,31,10
10,36,13
15,24,7
10,31,11
13,37,10
13,30,16
12,34,11
18,34,17
15,36,9
16,24,16
16,24,11
14,29,14
16,32,10
13,33,13
12,37,11
15,31,14
13,30,8
8,32,19
8,32,14
14,29,15
14,34,12
8,30,15
10,28,18
10,29,15
13,31,10
10,33,11
7,35,12
9,34,15
14,29,9
10,25,16
11,26,9
9,33,11
12,33,8
11,29,18
11,38,17
13,26,8
10,33,11
15,30,8
13,33,11
9,39,13
8,38,7
15,31,14
13,40,8
12,33,11
16,34,6
13,36,13
9,38,12
16,34,11
16,27,12
12,28,13
14,33,10
19,33,10
15,42,12
17,35,20
15,25,14
12,30,9
11,27,16
13,34,9
14,29,20
15,35,12
10,30,16
12,34,13
10,33,11
12,29,17
13,36,11
12,27,11
10,29,20
9,34,11
6,37,14
13,37,8
8,30,15
12,38,10
13,31,7
13,37,7
13,29,11
14,34,11
13,37,9
10,35,15
16,32,17
8,31,12
14,41,7
5,36,9
15,25,14
11,28,15
16,32,14
15,39,12
15,37,7
18,29,11
17,30,19
9,28,15
12,30,12
12,33,9
11,32,19
15,35,17
13,39,10
8,31,13
15,23,21
10,33,12
11,27,14
12,34,8
19,33,9
13,31,11
11,38,10
12,31,10
16,33,13
15,26,13
8,25,19
12,34,13
12,36,14
11,33,16
10,41,5
12,35,8
12,28,10
12,34,9
13,28,15
18,30,18
19,26,13
15,32,15
10,36,14
3,41,15
12,29,13
10,26,12
6,35,13
11,40,10
11,34,16
9,33,12
7,44,13
16,26,8
10,40,10
17,32,9
12,33,15
9,36,10
9,33,16
13,27,9
13,35,11
12,35,8
7,32,13
15,29,9
4,31,13
13,32,8
9,31,16
10,29,11
13,34,13
12,34,8
9,32,12
8,38,6
7,33,9
11,36,11
14,34,6
14,41,7
16,35,11
16,37,10
13,30,16
15,38,10
16,31,10
16,26,11
11,37,12
10,35,17
11,32,18
13,24,20
10,37,14
16,30,9
12,27,17
8,36,13
11,29,10
11,32,10
18,33,6
15,34,7
8,34,14
6,40,17
11,31,8
5,33,12
8,42,10
12,32,6
12,30,17
10,38,18
10,36,14
12,33,9
10,35,15
14,37,10
6,35,13
7,32,9
13,33,8
6,33,14
12,30,13
7,35,5
10,36,8
11,26,8
13,30,8
9,27,6
10,27,10
10,31,9
13,35,7
12,30,17
13,30,14
11,33,11
15,27,14
10,26,12
16,27,10
16,23,16
11,32,11
12,27,13
17,35,10
6,35,11
7,32,13
10,41,7
14,31,13
12,28,14
13,32,13
17,34,10
11,39,11
12,26,12
10,38,11
11,38,9
16,24,11
18,28,7
5,30,22
10,34,12
11,32,10
6,38,13
13,27,12
11,32,12
14,34,11
11,31,15
