"jump.times","SpeciesmRNA","SpeciesProtein"
0,1000,0
0.000555241926059384,1000,1
0.00279657439463915,999,1
0.0037830943002704,998,1
0.00428968253156839,998,2
0.00519236242422712,997,2
0.00674282114260434,996,2
0.00767917078144788,995,2
0.00816971896506376,994,2
0.00854263275180256,994,3
0.0107009984718772,994,4
0.0117835257053747,993,4
0.0133030122541509,992,4
0.013908967174527,991,4
0.0179536215452134,990,4
0.0195099565801122,989,4
0.022464071345816,989,5
0.0231004146463744,988,5
0.024578007678538,987,5
0.0251920653123454,987,6
0.0274404160168871,986,6
0.0280030416015898,985,6
0.0294639357224938,984,6
0.0295970574286327,984,7
0.0308745903168241,983,7
0.0314938127576687,982,7
0.0320824921290337,981,7
0.0369657302863954,980,7
0.0372538446483848,979,7
0.0430739831004144,978,7
0.0489995180507341,977,7
0.0518264185736638,976,7
0.0518297028615792,975,7
0.0532066010526369,974,7
0.053863194043476,973,7
0.054692125769101,972,7
0.0552738661322123,972,8
0.0580162856664403,971,8
0.0588345122237799,971,9
0.0593037484710326,971,10
0.0665977775805827,970,10
0.0696709392220538,969,10
0.0698902465073834,968,10
0.0707986403623717,967,10
0.0719606663896344,966,10
0.0738155324754249,966,11
0.0745370920950705,965,11
0.0753239829544126,964,11
0.0776739411591027,963,11
0.0787279897013334,962,11
0.0797557857349911,961,11
0.0803865506294024,960,11
0.0874394997328988,959,11
0.0878297655255023,958,11
0.0880632862491279,957,11
0.0887357959263523,956,11
0.0901045693797257,955,11
0.0965294135932747,954,11
0.0971168770078549,953,11
0.097451402640912,952,11
0.0987498671388914,951,11
0.102299269612433,950,11
0.104348916187985,949,11
0.107634249016719,948,11
0.108744888952806,947,11
0.109104999560114,946,11
0.109448440091939,945,11
0.114287510757408,944,11
0.11617174905632,943,11
0.116985732601499,942,11
0.117631704274672,941,11
0.119489199804466,940,11
0.120033085255029,939,11
0.120653980919264,938,11
0.121461213113254,937,11
0.125130286321218,937,12
0.127807247006468,936,12
0.129063214204486,935,12
0.131520471541107,934,12
0.131594335873676,933,12
0.135581809552645,932,12
0.1357900383245,931,12
0.136229289251172,930,12
0.136335835635072,929,12
0.13773021638545,928,12
0.139718938646035,927,12
0.14150136013468,926,12
0.141529150432033,925,12
0.14455820389724,924,12
0.146283536798132,923,12
0.146591977336504,922,12
0.148141780365484,921,12
0.148952770004184,920,12
0.15065329617986,919,12
0.151302105783455,919,13
0.152481387937996,918,13
0.152945008521741,918,14
0.153675623398337,917,14
0.155896385458599,916,14
0.158329893955085,915,14
0.160662723969085,914,14
0.162411149998887,914,15
0.162722285455984,913,15
0.162764431966192,913,16
0.165663897040207,912,16
0.167904773057784,911,16
0.168009658325825,910,16
0.174161381988273,909,16
0.175694101629625,908,16
0.177673147259926,907,16
0.177906469735228,906,16
0.178810892839667,906,17
0.180444530799345,905,17
0.181984381341818,904,17
0.182249857503571,903,17
0.18231731089802,902,17
0.183828322547271,901,17
0.184335157600075,901,18
0.18770920618028,900,18
0.190782439174656,899,18
0.191666428300657,898,18
0.191688991455818,897,18
0.192723040057479,896,18
0.193491225358044,895,18
0.19931617682764,894,18
0.201817451144355,893,18
0.203521669461109,892,18
0.207103169492953,891,18
0.20714042111469,890,18
0.207199717382828,889,18
0.212063379097293,889,17
